GeneSet	GenesInGS(K)	Desc	GenesinOL(k)	k/K	pValue	qValue
GO_NUCLEIC_ACID_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY	1199	Interacting selectively and non-covalently with a DNA or RNA sequence in order to modulate transcription. The transcription factor may or may not also interact selectively with a protein or macromolecular complex.	83	0.0692	3.06E-32	2.85E-29
GO_SEQUENCE_SPECIFIC_DNA_BINDING	1037	Interacting selectively and non-covalently with DNA of a specific nucleotide composition, e.g. GC-rich DNA binding, or with a specific sequence motif or type of DNA e.g. promotor binding or rDNA binding.	76	0.0733	3.73E-31	1.73E-28
GO_RNA_POLYMERASE_II_TRANSCRIPTION_FACTOR_ACTIVITY_SEQUENCE_SPECIFIC_DNA_BINDING	629	Interacting selectively and non-covalently with a specific DNA sequence in order to modulate transcription by RNA polymerase II. The transcription factor may or may not also interact selectively with a protein or macromolecular complex.	59	0.0938	6.38E-30	1.98E-27
GO_REGULATORY_REGION_NUCLEIC_ACID_BINDING	818	Interacting selectively and non-covalently with a nucleic acid region that regulates a nucleic acid-based process. Such processes include transcription, DNA replication, and DNA repair.	60	0.0733	9.47E-25	2.2E-22
GO_TRANSCRIPTIONAL_ACTIVATOR_ACTIVITY_RNA_POLYMERASE_II_TRANSCRIPTION_REGULATORY_REGION_SEQUENCE_SPECIFIC_BINDING	315	Interacting selectively and non-covalently with a sequence of DNA that is in the transcription regulatory region for RNA polymerase II (RNAP II) in order to activate or increase the frequency, rate or extent of transcription from the RNAP II promoter.	39	0.1238	1.59E-24	2.95E-22
GO_DOUBLE_STRANDED_DNA_BINDING	764	Interacting selectively and non-covalently with double-stranded DNA.	55	0.0720	2.21E-22	3.08E-20
GO_MACROMOLECULAR_COMPLEX_BINDING	1399	Interacting selectively and non-covalently with any macromolecular complex.	75	0.0536	2.32E-22	3.08E-20
GO_TRANSCRIPTION_FACTOR_ACTIVITY_RNA_POLYMERASE_II_CORE_PROMOTER_PROXIMAL_REGION_SEQUENCE_SPECIFIC_BINDING	328	Interacting selectively and non-covalently with a sequence of DNA that is in cis with and relatively close to a core promoter for RNA polymerase II (RNAP II) in order to modulate transcription by RNAP II.	37	0.1128	6.51E-22	7.56E-20
GO_PROTEIN_COMPLEX_BINDING	935	Interacting selectively and non-covalently with any protein complex (a complex of two or more proteins that may include other nonprotein molecules).	55	0.0588	2.2E-18	2.27E-16
GO_TRANSCRIPTIONAL_ACTIVATOR_ACTIVITY_RNA_POLYMERASE_II_CORE_PROMOTER_PROXIMAL_REGION_SEQUENCE_SPECIFIC_BINDING	226	Interacting selectively and non-covalently with a sequence of DNA that is in cis with and relatively close to a core promoter for RNA polymerase II (RNAP II) in order to activate or increase the frequency, rate or extent of transcription from the RNAP II promoter.	27	0.1195	5.54E-17	5.15E-15
GO_PROTEIN_DIMERIZATION_ACTIVITY	1149	The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits.	59	0.0513	6.56E-17	5.54E-15
GO_CORE_PROMOTER_PROXIMAL_REGION_DNA_BINDING	371	Interacting selectively and non-covalently with a region of DNA that is in cis with and relatively close to the core promoter. The transcribed region might be described as a gene, cistron, or operon.	33	0.0889	1.47E-16	1.14E-14
GO_TRANSCRIPTION_FACTOR_BINDING	524	Interacting selectively and non-covalently with a transcription factor, any protein required to initiate or regulate transcription.	38	0.0725	6.31E-16	4.51E-14
GO_IDENTICAL_PROTEIN_BINDING	1209	Interacting selectively and non-covalently with an identical protein or proteins.	58	0.0480	2.42E-15	1.6E-13
GO_LIPID_BINDING	657	Interacting selectively and non-covalently with a lipid.	41	0.0624	7.49E-15	4.64E-13
GO_ENZYME_BINDING	1737	Interacting selectively and non-covalently with any enzyme.	68	0.0391	1.59E-13	9.19E-12
GO_PROTEIN_HOMODIMERIZATION_ACTIVITY	722	Interacting selectively and non-covalently with an identical protein to form a homodimer.	41	0.0568	1.68E-13	9.19E-12
GO_TRANSPORTER_ACTIVITY	1276	Enables the directed movement of substances (such as macromolecules, small molecules, ions) into, out of or within a cell, or between cells.	55	0.0431	9.68E-13	5E-11
GO_RECEPTOR_ACTIVITY	1649	Combining with an extracellular or intracellular messenger to initiate a change in cell activity.	64	0.0388	1.26E-12	6.17E-11
GO_OXIDOREDUCTASE_ACTIVITY	719	Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced.	39	0.0542	2.71E-12	1.26E-10
