GeneSet	GenesInGS(K)	Desc	GenesinOL(k)	k/K	pValue	qValue
GO_NUCLEIC_ACID_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY	1199	Interacting selectively and non-covalently with a DNA or RNA sequence in order to modulate transcription. The transcription factor may or may not also interact selectively with a protein or macromolecular complex.	123	0.1026	2.36E-35	2.19E-32
GO_SEQUENCE_SPECIFIC_DNA_BINDING	1037	Interacting selectively and non-covalently with DNA of a specific nucleotide composition, e.g. GC-rich DNA binding, or with a specific sequence motif or type of DNA e.g. promotor binding or rDNA binding.	111	0.1070	1.36E-33	6.29E-31
GO_RNA_POLYMERASE_II_TRANSCRIPTION_FACTOR_ACTIVITY_SEQUENCE_SPECIFIC_DNA_BINDING	629	Interacting selectively and non-covalently with a specific DNA sequence in order to modulate transcription by RNA polymerase II. The transcription factor may or may not also interact selectively with a protein or macromolecular complex.	83	0.1320	1.17E-31	3.63E-29
GO_IDENTICAL_PROTEIN_BINDING	1209	Interacting selectively and non-covalently with an identical protein or proteins.	114	0.0943	1.6E-29	3.72E-27
GO_REGULATORY_REGION_NUCLEIC_ACID_BINDING	818	Interacting selectively and non-covalently with a nucleic acid region that regulates a nucleic acid-based process. Such processes include transcription, DNA replication, and DNA repair.	91	0.1112	6.47E-29	1.2E-26
GO_PROTEIN_DIMERIZATION_ACTIVITY	1149	The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits.	108	0.0940	6.91E-28	1.07E-25
GO_DOUBLE_STRANDED_DNA_BINDING	764	Interacting selectively and non-covalently with double-stranded DNA.	85	0.1113	4.49E-27	5.96E-25
GO_MACROMOLECULAR_COMPLEX_BINDING	1399	Interacting selectively and non-covalently with any macromolecular complex.	119	0.0851	8.77E-27	1.02E-24
GO_TRANSCRIPTIONAL_ACTIVATOR_ACTIVITY_RNA_POLYMERASE_II_TRANSCRIPTION_REGULATORY_REGION_SEQUENCE_SPECIFIC_BINDING	315	Interacting selectively and non-covalently with a sequence of DNA that is in the transcription regulatory region for RNA polymerase II (RNAP II) in order to activate or increase the frequency, rate or extent of transcription from the RNAP II promoter.	54	0.1714	1.48E-26	1.53E-24
GO_RECEPTOR_ACTIVITY	1649	Combining with an extracellular or intracellular messenger to initiate a change in cell activity.	130	0.0788	4.06E-26	3.77E-24
GO_ENZYME_BINDING	1737	Interacting selectively and non-covalently with any enzyme.	134	0.0771	5.07E-26	4.28E-24
GO_TRANSCRIPTION_FACTOR_ACTIVITY_RNA_POLYMERASE_II_CORE_PROMOTER_PROXIMAL_REGION_SEQUENCE_SPECIFIC_BINDING	328	Interacting selectively and non-covalently with a sequence of DNA that is in cis with and relatively close to a core promoter for RNA polymerase II (RNAP II) in order to modulate transcription by RNAP II.	53	0.1616	8.03E-25	6.21E-23
GO_RECEPTOR_BINDING	1476	Interacting selectively and non-covalently with one or more specific sites on a receptor molecule, a macromolecule that undergoes combination with a hormone, neurotransmitter, drug or intracellular messenger to initiate a change in cell function.	119	0.0806	8.92E-25	6.37E-23
GO_SIGNAL_TRANSDUCER_ACTIVITY	1731	Conveys a signal across a cell to trigger a change in cell function or state. A signal is a physical entity or change in state that is used to transfer information in order to trigger a response.	130	0.0751	3.33E-24	2.21E-22
GO_PROTEIN_COMPLEX_BINDING	935	Interacting selectively and non-covalently with any protein complex (a complex of two or more proteins that may include other nonprotein molecules).	89	0.0952	1.66E-23	1.03E-21
GO_PROTEIN_HOMODIMERIZATION_ACTIVITY	722	Interacting selectively and non-covalently with an identical protein to form a homodimer.	77	0.1066	1.78E-23	1.03E-21
GO_LIPID_BINDING	657	Interacting selectively and non-covalently with a lipid.	71	0.1081	4.57E-22	2.5E-20
GO_SIGNALING_RECEPTOR_ACTIVITY	1393	Receiving a signal and transmitting the signal in the cell to initiate a change in cell activity. A signal is a physical entity or change in state that is used to transfer information in order to trigger a response.	109	0.0782	9.45E-22	4.87E-20
GO_TRANSPORTER_ACTIVITY	1276	Enables the directed movement of substances (such as macromolecules, small molecules, ions) into, out of or within a cell, or between cells.	100	0.0784	4.48E-20	2.19E-18
GO_CORE_PROMOTER_PROXIMAL_REGION_DNA_BINDING	371	Interacting selectively and non-covalently with a region of DNA that is in cis with and relatively close to the core promoter. The transcribed region might be described as a gene, cistron, or operon.	50	0.1348	5.89E-20	2.74E-18
