GeneSet	GenesInGS(K)	Desc	GenesinOL(k)	k/K	pValue	qValue
GO_SEQUENCE_SPECIFIC_DNA_BINDING	1037	Interacting selectively and non-covalently with DNA of a specific nucleotide composition, e.g. GC-rich DNA binding, or with a specific sequence motif or type of DNA e.g. promotor binding or rDNA binding.	46	0.0444	1.41E-22	1.31E-19
GO_NUCLEIC_ACID_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY	1199	Interacting selectively and non-covalently with a DNA or RNA sequence in order to modulate transcription. The transcription factor may or may not also interact selectively with a protein or macromolecular complex.	46	0.0384	4.62E-20	2.15E-17
GO_RNA_POLYMERASE_II_TRANSCRIPTION_FACTOR_ACTIVITY_SEQUENCE_SPECIFIC_DNA_BINDING	629	Interacting selectively and non-covalently with a specific DNA sequence in order to modulate transcription by RNA polymerase II. The transcription factor may or may not also interact selectively with a protein or macromolecular complex.	34	0.0541	1.64E-19	5.09E-17
GO_TRANSCRIPTIONAL_ACTIVATOR_ACTIVITY_RNA_POLYMERASE_II_TRANSCRIPTION_REGULATORY_REGION_SEQUENCE_SPECIFIC_BINDING	315	Interacting selectively and non-covalently with a sequence of DNA that is in the transcription regulatory region for RNA polymerase II (RNAP II) in order to activate or increase the frequency, rate or extent of transcription from the RNAP II promoter.	23	0.0730	2.35E-16	5.46E-14
GO_REGULATORY_REGION_NUCLEIC_ACID_BINDING	818	Interacting selectively and non-covalently with a nucleic acid region that regulates a nucleic acid-based process. Such processes include transcription, DNA replication, and DNA repair.	34	0.0416	4.55E-16	8.45E-14
GO_DOUBLE_STRANDED_DNA_BINDING	764	Interacting selectively and non-covalently with double-stranded DNA.	31	0.0406	1.82E-14	2.82E-12
GO_MACROMOLECULAR_COMPLEX_BINDING	1399	Interacting selectively and non-covalently with any macromolecular complex.	41	0.0293	5.31E-14	7.05E-12
GO_TRANSCRIPTION_FACTOR_ACTIVITY_RNA_POLYMERASE_II_CORE_PROMOTER_PROXIMAL_REGION_SEQUENCE_SPECIFIC_BINDING	328	Interacting selectively and non-covalently with a sequence of DNA that is in cis with and relatively close to a core promoter for RNA polymerase II (RNAP II) in order to modulate transcription by RNAP II.	21	0.0640	6.43E-14	7.46E-12
GO_CORE_PROMOTER_PROXIMAL_REGION_DNA_BINDING	371	Interacting selectively and non-covalently with a region of DNA that is in cis with and relatively close to the core promoter. The transcribed region might be described as a gene, cistron, or operon.	21	0.0566	6.96E-13	7.18E-11
GO_TRANSCRIPTIONAL_ACTIVATOR_ACTIVITY_RNA_POLYMERASE_II_CORE_PROMOTER_PROXIMAL_REGION_SEQUENCE_SPECIFIC_BINDING	226	Interacting selectively and non-covalently with a sequence of DNA that is in cis with and relatively close to a core promoter for RNA polymerase II (RNAP II) in order to activate or increase the frequency, rate or extent of transcription from the RNAP II promoter.	15	0.0664	1.56E-10	1.45E-8
GO_PROTEIN_COMPLEX_BINDING	935	Interacting selectively and non-covalently with any protein complex (a complex of two or more proteins that may include other nonprotein molecules).	28	0.0299	4.09E-10	3.46E-8
GO_LIPID_BINDING	657	Interacting selectively and non-covalently with a lipid.	23	0.0350	8.48E-10	6.57E-8
GO_TRANSCRIPTION_COREPRESSOR_ACTIVITY	221	Interacting selectively and non-covalently with a repressing transcription factor and also with the basal transcription machinery in order to stop, prevent, or reduce the frequency, rate or extent of transcription. Cofactors generally do not bind the template nucleic acid, but rather mediate protein-protein interactions between repressive transcription factors and the basal transcription machinery.	13	0.0588	1.13E-8	8.04E-7
GO_TRANSCRIPTION_FACTOR_ACTIVITY_PROTEIN_BINDING	588	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules), in order to modulate transcription. A protein binding transcription factor may or may not also interact with the template nucleic acid (either DNA or RNA) as well.	19	0.0323	8.94E-8	5.93E-6
GO_TRANSITION_METAL_ION_BINDING	1400	Interacting selectively and non-covalently with a transition metal ions; a transition metal is an element whose atom has an incomplete d-subshell of extranuclear electrons, or which gives rise to a cation or cations with an incomplete d-subshell. Transition metals often have more than one valency state. Biologically relevant transition metals include vanadium, manganese, iron, copper, cobalt, nickel, molybdenum and silver.	30	0.0214	1.81E-7	1.12E-5
GO_TRANSCRIPTION_FACTOR_BINDING	524	Interacting selectively and non-covalently with a transcription factor, any protein required to initiate or regulate transcription.	17	0.0324	4.06E-7	2.34E-5
GO_OXIDOREDUCTASE_ACTIVITY	719	Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced.	20	0.0278	4.42E-7	2.34E-5
GO_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	356	Catalysis of the transfer of a specific substance or related group of substances from one side of a membrane to the other, up the solute's concentration gradient. The transporter binds the solute and undergoes a series of conformational changes. Transport works equally well in either direction.	14	0.0393	4.54E-7	2.34E-5
GO_TRANSCRIPTIONAL_REPRESSOR_ACTIVITY_RNA_POLYMERASE_II_TRANSCRIPTION_REGULATORY_REGION_SEQUENCE_SPECIFIC_BINDING	168	Interacting selectively and non-covalently with a sequence of DNA that is in the regulatory region for RNA polymerase II (RNAP II) in order to stop, prevent, or reduce the frequency, rate or extent of transcription from an RNA polymerase II promoter.	10	0.0595	5.03E-7	2.46E-5
GO_CHROMATIN_BINDING	435	Interacting selectively and non-covalently with chromatin, the network of fibers of DNA, protein, and sometimes RNA, that make up the chromosomes of the eukaryotic nucleus during interphase.	15	0.0345	9.23E-7	4.29E-5
