GeneSet	GenesInGS(K)	Desc	GenesinOL(k)	k/K	pValue	qValue
GO_NUCLEIC_ACID_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY	1199	Interacting selectively and non-covalently with a DNA or RNA sequence in order to modulate transcription. The transcription factor may or may not also interact selectively with a protein or macromolecular complex.	75	0.0626	4.11E-22	3.82E-19
GO_ENZYME_BINDING	1737	Interacting selectively and non-covalently with any enzyme.	83	0.0478	3.46E-17	1.61E-14
GO_SEQUENCE_SPECIFIC_DNA_BINDING	1037	Interacting selectively and non-covalently with DNA of a specific nucleotide composition, e.g. GC-rich DNA binding, or with a specific sequence motif or type of DNA e.g. promotor binding or rDNA binding.	59	0.0569	9.71E-16	3.01E-13
GO_RECEPTOR_BINDING	1476	Interacting selectively and non-covalently with one or more specific sites on a receptor molecule, a macromolecule that undergoes combination with a hormone, neurotransmitter, drug or intracellular messenger to initiate a change in cell function.	71	0.0481	5.66E-15	1.32E-12
GO_REGULATORY_REGION_NUCLEIC_ACID_BINDING	818	Interacting selectively and non-covalently with a nucleic acid region that regulates a nucleic acid-based process. Such processes include transcription, DNA replication, and DNA repair.	49	0.0599	4.2E-14	7.8E-12
GO_DOUBLE_STRANDED_DNA_BINDING	764	Interacting selectively and non-covalently with double-stranded DNA.	47	0.0615	5.37E-14	8.31E-12
GO_MACROMOLECULAR_COMPLEX_BINDING	1399	Interacting selectively and non-covalently with any macromolecular complex.	65	0.0465	4.04E-13	5.37E-11
GO_ADENYL_NUCLEOTIDE_BINDING	1514	Interacting selectively and non-covalently with adenyl nucleotides, any compound consisting of adenosine esterified with (ortho)phosphate.	67	0.0443	1.56E-12	1.81E-10
GO_RIBONUCLEOTIDE_BINDING	1860	Interacting selectively and non-covalently with a ribonucleotide, any compound consisting of a ribonucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the ribose moiety.	76	0.0409	2.3E-12	2.37E-10
GO_RNA_POLYMERASE_II_TRANSCRIPTION_FACTOR_ACTIVITY_SEQUENCE_SPECIFIC_DNA_BINDING	629	Interacting selectively and non-covalently with a specific DNA sequence in order to modulate transcription by RNA polymerase II. The transcription factor may or may not also interact selectively with a protein or macromolecular complex.	39	0.0620	6.14E-12	5.7E-10
GO_PROTEIN_DIMERIZATION_ACTIVITY	1149	The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits.	55	0.0479	9.06E-12	7.65E-10
GO_TRANSCRIPTION_FACTOR_ACTIVITY_RNA_POLYMERASE_II_CORE_PROMOTER_PROXIMAL_REGION_SEQUENCE_SPECIFIC_BINDING	328	Interacting selectively and non-covalently with a sequence of DNA that is in cis with and relatively close to a core promoter for RNA polymerase II (RNAP II) in order to modulate transcription by RNAP II.	27	0.0823	2.19E-11	1.69E-9
GO_IDENTICAL_PROTEIN_BINDING	1209	Interacting selectively and non-covalently with an identical protein or proteins.	55	0.0455	6.13E-11	4.38E-9
GO_PROTEIN_COMPLEX_BINDING	935	Interacting selectively and non-covalently with any protein complex (a complex of two or more proteins that may include other nonprotein molecules).	46	0.0492	1.98E-10	1.31E-8
GO_TRANSITION_METAL_ION_BINDING	1400	Interacting selectively and non-covalently with a transition metal ions; a transition metal is an element whose atom has an incomplete d-subshell of extranuclear electrons, or which gives rise to a cation or cations with an incomplete d-subshell. Transition metals often have more than one valency state. Biologically relevant transition metals include vanadium, manganese, iron, copper, cobalt, nickel, molybdenum and silver.	59	0.0421	2.35E-10	1.46E-8
GO_OXIDOREDUCTASE_ACTIVITY	719	Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced.	39	0.0542	3.14E-10	1.82E-8
GO_KINASE_ACTIVITY	842	Catalysis of the transfer of a phosphate group, usually from ATP, to a substrate molecule.	42	0.0499	8.17E-10	4.47E-8
GO_TRANSFERASE_ACTIVITY_TRANSFERRING_PHOSPHORUS_CONTAINING_GROUPS	992	Catalysis of the transfer of a phosphorus-containing group from one compound (donor) to another (acceptor).	46	0.0464	1.29E-9	6.68E-8
GO_CORE_PROMOTER_PROXIMAL_REGION_DNA_BINDING	371	Interacting selectively and non-covalently with a region of DNA that is in cis with and relatively close to the core promoter. The transcribed region might be described as a gene, cistron, or operon.	26	0.0701	1.65E-9	8.05E-8
GO_TRANSPORTER_ACTIVITY	1276	Enables the directed movement of substances (such as macromolecules, small molecules, ions) into, out of or within a cell, or between cells.	53	0.0415	3.27E-9	1.52E-7

